N,P,K,Soil_pH,Soil_Moisture,Soil_Type,Organic_Carbon,Temperature,Humidity,Rainfall,Sunlight_Hours,Wind_Speed,Region,Altitude,Season,Crop_Type,Irrigation_Type,Fertilizer_Used,Pesticide_Used,Crop_Yield_ton_per_hectare
63,65,81,7.42,18.66,Clay,1.28,12.41,84.33,628.09,9.77,11.46,South,1065,Rabi,Rice,Drip,184.99,0.54,6.48
46,89,76,8.15,16.91,Clay,1.18,38.15,46.13,2376.56,8.94,3.8,North,1003,Kharif,Wheat,Drip,309.12,10.84,8.29
151,69,112,7.5,18.2,Silt,1.59,21.71,69.33,606.22,10.63,15.23,North,1554,Zaid,Potato,Rainfed,132.86,3.84,22.44
105,15,135,5.81,25.0,Loamy,1.1,33.73,79.54,741.32,7.77,16.25,South,1991,Zaid,Wheat,Canal,303.32,21.37,8.67
116,42,95,8.07,28.9,Sandy,0.84,20.68,59.32,976.77,8.61,12.99,South,1725,Kharif,Wheat,Canal,231.36,19.8,7.01
146,67,95,8.14,23.47,Clay,1.54,22.47,31.62,2333.74,4.41,9.46,Central,1401,Kharif,Wheat,Sprinkler,62.66,18.36,7.28
135,72,56,5.22,27.6,Loamy,1.12,23.13,77.77,808.84,9.41,14.13,Central,1007,Kharif,Wheat,Rainfed,316.18,2.35,9.33
115,87,49,7.86,24.29,Silt,0.75,38.4,82.76,848.15,8.35,7.52,West,849,Kharif,Wheat,Drip,320.08,16.19,8.13
56,74,61,7.06,22.54,Sandy,0.33,26.51,31.86,1930.05,7.37,8.6,Central,1464,Rabi,Maize,Rainfed,299.4,7.8,10.98
86,73,80,7.93,29.65,Loamy,1.28,16.51,36.97,2374.32,10.8,8.3,South,1424,Kharif,Maize,Drip,212.88,12.17,11.01
60,36,67,7.91,34.88,Silt,0.46,28.35,35.22,2047.84,6.77,17.58,South,571,Rabi,Potato,Sprinkler,271.31,24.27,24.09
163,22,103,7.83,52.21,Silt,1.5,36.68,43.27,1643.59,4.95,6.62,South,1863,Zaid,Potato,Canal,97.52,2.34,24.22
127,63,112,7.81,62.78,Loamy,1.55,16.43,59.76,1925.25,5.95,9.44,North,1803,Zaid,Rice,Drip,309.61,16.39,9.29
41,56,87,5.2,60.95,Loamy,0.61,20.13,32.0,1667.74,10.38,16.07,South,305,Kharif,Cotton,Rainfed,335.18,23.2,6.8
82,41,65,5.29,38.8,Clay,0.45,27.14,40.14,1192.03,5.47,2.45,North,576,Zaid,Maize,Sprinkler,155.3,1.28,10.24
167,53,132,5.2,38.07,Sandy,1.07,39.62,54.44,2026.58,10.76,5.92,North,1915,Rabi,Maize,Rainfed,135.78,15.53,11.81
174,97,47,5.11,21.28,Sandy,0.58,23.96,67.98,2018.46,8.76,13.77,North,1702,Zaid,Rice,Sprinkler,131.55,14.78,6.72
151,39,96,6.0,63.59,Clay,1.0,27.53,84.58,1881.21,5.41,13.55,Central,1514,Zaid,Wheat,Rainfed,158.01,14.82,8.87
75,52,140,7.13,53.0,Sandy,0.84,14.06,79.79,1887.74,4.46,10.47,East,2,Kharif,Wheat,Drip,82.73,6.89,10.01
93,99,22,6.01,57.38,Sandy,1.33,32.74,33.23,890.61,7.31,12.81,South,1880,Kharif,Cotton,Drip,289.59,18.04,8.23
159,38,56,7.25,26.71,Silt,1.6,16.6,88.02,2617.99,7.52,5.82,North,96,Rabi,Wheat,Canal,153.52,21.22,9.06
83,38,111,7.59,35.05,Loamy,0.89,19.84,46.02,2780.62,6.44,12.02,South,2149,Rabi,Potato,Sprinkler,83.29,7.64,25.25
136,74,102,7.07,20.13,Clay,1.19,31.29,51.81,1689.05,4.32,1.81,Central,918,Kharif,Maize,Sprinkler,346.8,4.48,13.74
80,97,36,6.38,62.04,Loamy,0.74,31.38,34.47,859.47,10.47,17.76,South,1177,Zaid,Potato,Canal,122.2,23.8,24.19
65,64,140,5.8,29.29,Sandy,1.42,19.56,86.16,1093.2,8.19,11.88,East,1332,Rabi,Maize,Drip,297.36,20.72,9.14
144,80,106,5.22,44.8,Sandy,0.35,35.51,62.75,2149.12,7.39,4.05,East,702,Rabi,Potato,Sprinkler,202.82,23.35,26.05
55,28,59,6.48,22.61,Clay,0.94,33.84,60.98,980.33,6.5,13.26,South,242,Rabi,Maize,Canal,169.02,3.22,9.68
58,67,92,7.25,55.14,Loamy,0.53,28.47,30.91,1821.65,8.74,11.87,South,179,Kharif,Sugarcane,Rainfed,253.64,21.89,77.22
178,46,48,6.66,24.32,Silt,0.53,15.36,30.21,557.15,7.7,17.39,East,2084,Kharif,Wheat,Sprinkler,309.92,21.02,6.16
40,62,61,7.25,55.47,Loamy,0.99,37.15,70.93,2719.35,9.93,5.91,North,1153,Rabi,Sugarcane,Rainfed,76.27,11.32,75.65
69,53,48,5.94,35.09,Loamy,0.7,25.82,58.94,2402.71,7.9,1.96,North,1237,Zaid,Wheat,Canal,72.89,10.13,8.93
40,54,85,5.03,43.89,Clay,0.9,21.29,60.45,2354.09,7.65,4.12,North,1232,Kharif,Potato,Canal,345.63,10.59,26.19
142,56,143,7.42,28.49,Silt,0.7,37.82,69.01,2240.95,5.39,8.12,North,4,Rabi,Maize,Drip,137.58,15.01,11.91
68,91,139,5.55,59.14,Loamy,0.89,39.15,38.76,300.7,4.52,5.04,West,1860,Rabi,Cotton,Canal,75.87,15.16,6.09
83,90,128,6.9,52.99,Loamy,0.67,31.52,89.9,470.51,5.48,13.64,North,179,Rabi,Cotton,Drip,155.29,20.14,7.02
127,22,111,7.53,32.71,Sandy,1.34,33.74,34.85,1772.56,5.13,1.81,West,525,Zaid,Cotton,Drip,112.49,9.08,6.82
84,93,131,5.27,44.27,Sandy,1.03,17.4,46.07,2221.59,9.07,3.19,North,2143,Zaid,Sugarcane,Rainfed,191.06,0.86,75.53
140,40,71,6.83,21.45,Silt,0.51,17.76,71.63,2188.29,5.79,6.25,West,1001,Rabi,Potato,Sprinkler,315.64,7.88,26.75
179,26,79,7.14,23.02,Loamy,0.31,27.08,60.96,1623.03,8.73,10.52,North,1980,Rabi,Sugarcane,Canal,319.77,16.88,77.45
98,57,113,7.34,41.68,Loamy,0.32,39.5,35.79,1602.24,8.07,5.96,North,1003,Rabi,Rice,Drip,150.43,21.53,8.84
85,65,117,5.3,47.03,Sandy,0.85,32.3,76.49,518.84,5.76,10.55,East,1577,Rabi,Wheat,Sprinkler,198.0,6.98,7.93
62,96,33,7.61,42.87,Silt,0.71,32.38,88.23,2621.63,8.29,6.3,Central,1956,Zaid,Sugarcane,Rainfed,216.87,18.04,76.29
65,77,70,5.12,42.97,Clay,0.64,17.73,58.38,1082.22,8.87,13.92,East,1904,Kharif,Cotton,Canal,133.15,10.84,4.25
177,63,43,6.57,52.11,Sandy,1.11,22.59,45.19,824.75,4.13,13.61,Central,387,Zaid,Potato,Rainfed,108.62,2.16,24.73
110,41,126,6.31,60.12,Loamy,1.36,20.28,36.41,1791.74,7.91,14.43,South,1658,Kharif,Wheat,Canal,197.79,2.21,9.61
138,23,92,5.55,34.38,Clay,0.38,19.07,42.31,359.07,9.41,17.26,West,457,Kharif,Cotton,Sprinkler,177.53,4.27,4.61
102,53,103,5.83,41.85,Loamy,0.44,31.93,48.67,2702.78,4.8,15.04,Central,1020,Zaid,Potato,Canal,320.62,17.68,29.18
69,79,80,5.36,59.65,Loamy,0.78,13.0,41.28,1214.44,6.74,15.09,Central,719,Kharif,Potato,Rainfed,305.57,21.07,26.62
46,85,125,6.25,38.21,Loamy,0.87,14.96,71.07,1038.79,6.07,7.48,East,1676,Zaid,Sugarcane,Drip,252.5,1.71,76.16
158,85,113,4.92,37.26,Silt,0.81,22.37,31.38,679.08,8.47,6.29,East,563,Rabi,Cotton,Canal,142.3,7.04,3.75
90,21,82,7.82,53.33,Clay,1.13,19.08,54.55,1570.7,9.33,4.77,South,146,Rabi,Wheat,Rainfed,167.87,22.41,7.46
133,86,114,5.36,58.87,Loamy,0.41,37.1,52.45,1273.83,10.75,8.54,West,2091,Zaid,Wheat,Rainfed,111.46,16.15,8.5
71,94,54,7.81,51.88,Silt,0.94,16.01,82.68,1066.27,7.48,7.4,West,665,Rabi,Sugarcane,Sprinkler,138.3,8.54,73.82
54,81,86,7.74,20.01,Clay,1.36,17.47,46.37,631.12,9.03,4.76,North,1767,Kharif,Wheat,Drip,345.29,15.41,8.19
68,24,75,6.34,38.24,Sandy,1.51,15.34,64.94,1113.41,7.67,1.03,East,1109,Rabi,Maize,Rainfed,219.79,8.23,9.55
64,85,59,6.49,25.6,Silt,1.03,35.75,30.28,2350.32,6.51,8.75,West,935,Rabi,Maize,Sprinkler,297.15,3.9,10.99
160,99,148,5.83,30.87,Clay,0.48,16.06,85.02,2286.26,5.43,17.67,East,1294,Kharif,Maize,Drip,139.52,0.01,9.85
137,67,43,8.19,38.44,Loamy,1.25,20.56,68.2,1731.88,10.22,13.41,South,71,Kharif,Potato,Canal,179.17,18.7,23.26
131,71,121,7.08,26.08,Loamy,1.34,30.08,77.62,2181.59,8.09,16.97,East,1544,Zaid,Maize,Drip,233.46,11.31,10.52
127,41,134,8.04,40.8,Silt,0.56,12.33,64.16,1831.2,8.48,9.51,South,710,Rabi,Rice,Drip,74.62,21.14,7.08
41,68,94,6.21,47.16,Sandy,1.18,34.5,78.93,588.63,8.32,17.77,South,1272,Zaid,Cotton,Sprinkler,320.63,20.1,5.98
48,18,30,7.8,58.74,Silt,1.51,31.19,35.06,2614.37,5.66,4.39,Central,767,Kharif,Wheat,Rainfed,305.42,0.9,11.38
130,37,55,6.32,25.57,Sandy,1.23,17.83,72.63,1550.75,6.26,10.4,Central,1583,Zaid,Maize,Canal,344.53,13.1,11.87
73,62,82,7.75,30.53,Sandy,0.84,21.75,38.93,2151.12,9.91,5.43,South,1189,Rabi,Maize,Rainfed,171.86,8.51,7.8
78,97,99,5.25,35.29,Silt,0.88,28.6,64.59,2487.84,7.14,4.89,West,699,Rabi,Potato,Drip,95.68,22.74,23.72
46,56,107,6.97,26.23,Silt,0.4,38.39,89.14,2498.24,4.1,16.91,Central,1616,Zaid,Sugarcane,Drip,257.25,24.44,76.38
103,17,49,7.11,31.6,Silt,0.98,28.88,40.83,2632.89,7.06,10.8,West,1163,Zaid,Sugarcane,Canal,98.14,6.05,74.69
86,17,122,7.03,59.17,Clay,1.34,17.59,45.37,1918.46,5.63,2.42,North,1867,Kharif,Wheat,Rainfed,149.89,5.22,10.74
84,42,131,6.32,21.93,Clay,1.57,24.47,42.68,1883.18,10.03,7.25,East,205,Zaid,Rice,Sprinkler,122.44,3.68,9.48
76,77,103,7.13,37.19,Silt,0.82,23.49,54.73,899.1,7.59,15.25,East,1641,Kharif,Cotton,Canal,244.56,22.5,7.32
41,95,124,5.61,30.55,Clay,0.87,25.98,59.31,1085.39,10.96,2.59,Central,1133,Zaid,Rice,Rainfed,247.69,11.16,10.82
91,45,40,6.83,18.86,Clay,0.37,25.57,39.6,1808.51,4.23,1.37,East,1472,Zaid,Sugarcane,Canal,156.16,5.63,75.62
109,24,56,6.68,19.81,Sandy,1.31,20.92,31.67,926.74,7.86,15.38,West,1589,Kharif,Wheat,Drip,275.6,7.64,8.35
112,63,46,5.88,54.24,Loamy,1.23,36.15,50.5,1197.22,4.37,12.59,East,594,Zaid,Potato,Sprinkler,286.93,10.12,26.94
37,35,121,7.45,57.62,Loamy,0.82,19.9,52.92,715.49,5.99,2.19,North,828,Kharif,Potato,Drip,259.23,24.51,26.94
178,67,57,5.07,52.07,Clay,1.22,25.9,52.97,2176.56,5.61,4.12,South,985,Rabi,Maize,Sprinkler,76.8,22.39,9.58
110,90,79,5.38,41.96,Sandy,1.11,17.83,69.9,1877.62,5.98,2.21,East,1495,Kharif,Rice,Rainfed,102.35,12.32,8.39
147,68,89,6.4,53.63,Silt,1.3,23.04,56.92,2109.64,10.87,2.18,Central,1347,Zaid,Wheat,Rainfed,169.95,21.63,8.18
54,71,51,7.83,22.6,Sandy,0.71,30.44,36.47,1411.59,5.95,16.3,South,1692,Kharif,Potato,Drip,186.49,5.98,23.88
118,34,99,6.76,54.01,Sandy,1.15,32.74,85.94,2139.41,5.15,13.81,West,225,Zaid,Potato,Rainfed,154.99,13.18,25.31
41,63,121,7.66,36.17,Loamy,1.11,34.19,72.04,1464.17,10.66,9.72,South,2167,Kharif,Potato,Sprinkler,221.16,19.57,25.84
172,21,121,6.56,52.52,Silt,0.42,32.1,42.77,1631.86,8.38,6.42,West,1487,Zaid,Wheat,Canal,147.42,4.2,9.39
88,43,49,7.47,26.39,Loamy,0.67,24.0,86.11,618.17,6.01,11.39,Central,68,Kharif,Potato,Sprinkler,181.12,13.01,22.91
138,62,41,5.91,56.63,Clay,1.42,11.12,89.49,391.08,8.61,5.85,Central,1488,Zaid,Maize,Drip,65.81,8.74,9.37
55,27,38,7.57,43.41,Loamy,0.5,25.73,41.85,2162.58,9.52,3.42,Central,1167,Kharif,Rice,Canal,162.79,19.4,7.21
76,17,50,6.17,15.37,Sandy,0.79,11.65,52.83,2526.51,4.12,9.28,West,699,Rabi,Maize,Canal,261.28,21.5,11.48
61,16,39,6.7,40.96,Silt,0.59,38.99,34.14,1201.79,5.64,15.37,North,212,Kharif,Sugarcane,Drip,205.86,3.36,74.02
39,30,149,5.4,30.51,Silt,0.48,21.34,58.95,2417.11,8.0,12.64,South,196,Kharif,Potato,Sprinkler,269.63,19.99,25.71
45,20,59,7.93,17.88,Silt,0.48,25.11,77.26,988.61,7.58,14.34,South,29,Kharif,Wheat,Drip,236.7,16.19,4.8
174,59,110,7.18,37.37,Loamy,0.75,13.89,84.24,2129.77,6.95,4.04,West,1815,Rabi,Maize,Drip,344.62,24.97,12.72
55,85,91,7.72,30.57,Loamy,1.34,39.87,62.72,1754.72,4.22,17.35,South,788,Kharif,Maize,Canal,138.22,9.06,7.87
115,19,128,5.51,25.22,Loamy,1.56,24.77,49.56,383.88,10.66,2.28,Central,1600,Rabi,Rice,Sprinkler,90.9,10.91,7.56
164,70,46,5.03,32.46,Clay,1.04,18.95,64.49,903.93,9.01,9.68,East,1144,Kharif,Maize,Rainfed,98.91,13.58,7.51
43,85,98,5.95,23.98,Loamy,1.13,15.79,36.93,1872.49,10.97,7.33,South,118,Rabi,Maize,Sprinkler,137.87,19.87,9.13
108,46,97,6.56,29.99,Clay,1.31,29.5,80.12,819.41,10.12,11.07,East,1447,Zaid,Cotton,Canal,226.83,11.95,6.91
146,63,36,7.53,20.77,Loamy,1.16,23.09,61.24,1774.72,8.02,16.99,Central,1739,Rabi,Sugarcane,Rainfed,284.28,4.71,75.75
36,27,103,6.15,19.22,Clay,1.4,19.52,88.95,2067.05,6.47,2.88,South,613,Rabi,Potato,Canal,70.99,20.78,23.41
166,44,107,5.72,60.5,Sandy,1.45,10.29,54.06,1166.46,5.15,3.25,South,976,Zaid,Sugarcane,Rainfed,340.03,5.44,79.22
144,39,93,6.07,60.14,Sandy,1.12,11.09,69.21,2028.57,5.48,6.69,East,1712,Rabi,Maize,Rainfed,162.46,3.39,9.25
101,99,146,7.19,56.4,Silt,0.99,30.81,50.4,1907.14,10.08,11.9,North,348,Kharif,Sugarcane,Drip,298.97,10.18,77.13
88,74,121,5.94,26.52,Sandy,0.81,24.42,38.86,2768.28,10.03,3.49,West,916,Kharif,Potato,Drip,254.6,14.36,27.5
111,73,115,8.13,51.29,Silt,0.9,35.47,75.28,1836.63,10.02,3.22,North,430,Kharif,Potato,Drip,231.63,20.74,25.76
145,99,70,5.39,44.49,Clay,0.75,32.61,70.35,988.38,10.03,14.46,West,876,Rabi,Cotton,Sprinkler,84.96,4.13,3.93
175,42,120,7.36,17.56,Silt,0.86,27.2,76.83,917.99,5.3,14.51,South,385,Zaid,Maize,Rainfed,319.64,2.92,10.45
132,72,90,6.8,59.98,Sandy,1.47,26.83,88.81,1949.19,9.98,12.57,South,1038,Kharif,Rice,Rainfed,169.5,24.04,9.56
46,34,90,5.59,64.9,Clay,1.56,32.36,89.6,558.65,4.88,7.98,North,1483,Zaid,Potato,Sprinkler,318.75,19.38,24.87
43,48,29,7.36,50.44,Silt,0.77,32.23,85.74,865.98,6.9,10.75,East,1241,Kharif,Wheat,Drip,115.35,10.43,6.35
137,19,116,6.32,26.58,Clay,0.59,20.04,83.69,322.43,10.95,11.46,North,1247,Zaid,Potato,Sprinkler,340.44,18.49,25.19
74,96,25,7.12,42.72,Clay,0.4,13.16,48.09,1578.61,8.88,12.54,East,1674,Kharif,Cotton,Canal,240.5,3.91,8.28
127,74,96,7.05,20.47,Sandy,1.39,33.15,58.11,2264.08,8.53,4.97,Central,1825,Zaid,Potato,Rainfed,302.57,2.11,27.71
160,57,96,5.18,29.94,Clay,1.43,16.69,32.81,1576.64,5.59,9.77,South,16,Kharif,Sugarcane,Rainfed,205.84,9.72,73.22
66,71,21,7.66,50.86,Loamy,0.89,33.74,71.05,1013.92,9.16,17.97,North,1466,Rabi,Wheat,Sprinkler,233.03,20.56,7.04
137,71,70,7.12,30.05,Sandy,1.01,28.54,62.76,2394.83,7.83,3.99,North,1998,Zaid,Potato,Drip,152.63,5.71,23.4
68,89,140,7.45,22.36,Silt,1.26,20.74,72.42,1511.74,7.37,2.32,South,1141,Rabi,Sugarcane,Rainfed,275.25,2.97,75.51
44,68,147,6.32,15.37,Loamy,0.79,35.57,70.85,2024.3,5.64,2.18,West,1425,Zaid,Wheat,Drip,321.83,14.44,9.94
149,95,21,5.46,43.63,Sandy,0.56,30.74,46.32,2766.15,4.87,12.34,East,480,Kharif,Potato,Drip,267.93,24.05,27.84
33,59,70,5.91,63.43,Clay,0.45,26.35,57.66,2334.31,5.6,14.85,North,1692,Zaid,Wheat,Rainfed,196.5,6.48,10.39
122,51,89,7.86,39.21,Silt,0.61,19.03,36.31,2426.32,7.54,5.03,South,2129,Kharif,Wheat,Canal,302.29,13.55,11.84
170,98,39,7.99,25.63,Clay,1.14,39.59,35.07,601.82,10.75,1.58,North,1075,Kharif,Cotton,Drip,204.77,18.47,7.2
45,62,42,6.44,38.16,Clay,0.75,35.16,57.6,1651.62,5.77,13.15,West,1850,Kharif,Potato,Sprinkler,187.44,8.79,24.88
137,68,73,5.82,45.1,Silt,1.43,14.1,63.35,2792.59,8.74,13.7,East,697,Zaid,Maize,Drip,252.76,8.41,12.56
155,62,76,7.28,55.07,Silt,0.41,34.19,49.13,1109.25,5.23,5.48,East,1353,Zaid,Potato,Sprinkler,126.63,16.6,24.76
84,20,134,7.4,37.63,Sandy,0.84,13.61,33.69,404.47,6.85,1.25,East,1503,Kharif,Rice,Rainfed,197.92,11.23,6.12
63,48,142,7.57,23.65,Sandy,0.63,17.43,69.69,385.13,5.94,14.59,West,656,Kharif,Sugarcane,Drip,71.75,23.03,70.98
42,77,55,4.91,24.4,Clay,1.45,38.73,70.64,2746.73,6.42,7.14,North,896,Rabi,Wheat,Canal,345.49,3.63,8.94
170,92,90,4.83,59.99,Sandy,1.35,36.1,49.24,1385.61,5.56,9.84,South,220,Rabi,Sugarcane,Canal,338.83,9.57,78.53
47,62,88,6.01,26.81,Loamy,1.58,28.18,30.05,1012.13,10.81,16.3,South,890,Rabi,Potato,Rainfed,345.87,0.74,22.93
125,37,77,5.32,51.4,Silt,0.46,30.97,68.15,1584.83,6.32,4.5,East,1196,Rabi,Maize,Rainfed,314.8,4.82,11.04
152,98,82,7.54,28.45,Clay,1.32,12.69,34.23,1825.44,10.11,3.21,North,1637,Kharif,Potato,Canal,321.31,10.62,27.39
68,27,35,6.61,51.03,Loamy,0.46,19.97,43.41,2501.93,6.36,10.89,Central,130,Kharif,Wheat,Rainfed,84.83,9.23,10.13
75,61,97,7.61,18.92,Loamy,0.5,19.67,44.87,1406.59,7.59,12.32,South,1630,Kharif,Sugarcane,Rainfed,121.65,8.2,70.87
58,58,141,5.4,25.37,Silt,0.35,10.98,45.81,2432.69,10.4,7.69,South,1422,Kharif,Wheat,Drip,253.6,0.85,11.51
91,46,21,6.93,35.44,Sandy,0.9,31.12,67.0,950.48,5.53,1.54,North,357,Zaid,Maize,Canal,118.71,14.62,9.51
45,40,133,6.77,40.77,Loamy,0.46,19.23,34.75,1671.3,7.23,2.52,South,1349,Kharif,Rice,Sprinkler,74.29,22.23,9.16
150,67,133,5.96,32.65,Clay,0.75,28.99,68.72,2253.96,10.64,5.55,Central,34,Kharif,Potato,Canal,178.43,7.13,25.25
39,28,143,6.56,43.68,Loamy,0.66,10.82,59.09,1406.72,9.96,4.75,West,538,Zaid,Rice,Canal,329.22,7.55,12.17
132,66,105,6.8,31.27,Silt,1.57,10.05,50.93,993.86,7.78,6.35,East,844,Rabi,Potato,Sprinkler,348.79,16.88,25.92
113,50,148,7.82,48.92,Sandy,1.16,15.1,66.25,2322.5,5.69,10.16,West,1685,Rabi,Rice,Canal,201.55,19.36,10.47
162,22,40,4.99,40.56,Sandy,0.83,31.09,82.41,2318.16,7.82,1.95,East,892,Kharif,Cotton,Rainfed,237.01,23.07,8.33
94,54,20,7.6,50.26,Clay,1.44,28.13,62.64,1005.77,9.85,4.85,East,1372,Kharif,Rice,Rainfed,160.56,7.94,9.37
32,36,77,8.13,36.55,Clay,0.38,16.03,39.37,1812.18,8.77,14.6,East,825,Rabi,Rice,Canal,141.78,8.21,7.46
171,30,20,7.29,58.83,Clay,0.73,25.7,63.47,915.93,7.56,3.86,West,441,Zaid,Maize,Rainfed,329.54,14.53,13.45
149,74,26,7.31,34.11,Clay,0.97,28.58,57.22,2540.77,5.71,6.09,Central,1450,Kharif,Sugarcane,Sprinkler,268.61,6.42,78.19
97,74,70,5.54,30.41,Clay,0.37,38.17,86.43,487.8,8.46,8.77,South,428,Rabi,Potato,Sprinkler,124.19,5.35,23.15
175,24,22,6.58,42.85,Loamy,0.49,32.87,65.6,1255.76,6.08,3.76,South,139,Kharif,Wheat,Rainfed,131.81,8.8,8.34
66,39,50,7.2,40.46,Loamy,1.46,14.08,32.11,1925.3,4.09,13.9,Central,1732,Kharif,Maize,Rainfed,268.45,5.04,10.74
102,45,119,6.85,40.9,Silt,0.53,18.11,37.24,2450.59,6.66,1.48,South,2106,Zaid,Wheat,Rainfed,175.4,3.81,10.63
172,35,81,6.11,54.81,Sandy,1.5,22.1,61.94,2288.42,5.41,8.28,Central,1841,Kharif,Maize,Sprinkler,203.52,19.2,11.69
78,95,127,8.0,44.43,Loamy,0.42,13.16,77.71,2010.26,10.26,10.29,West,1369,Zaid,Potato,Drip,294.74,20.59,27.34
150,47,74,6.55,59.26,Clay,1.45,26.66,35.74,2615.17,4.85,3.11,East,2111,Zaid,Cotton,Sprinkler,259.47,24.63,10.68
117,45,63,8.1,45.95,Silt,0.89,37.21,63.93,360.69,6.37,12.69,South,1862,Kharif,Wheat,Rainfed,334.34,8.42,6.69
169,35,100,6.72,16.09,Clay,1.05,19.19,57.16,2748.77,5.5,2.65,North,694,Zaid,Cotton,Sprinkler,300.66,21.07,9.5
66,50,49,7.5,58.52,Sandy,0.67,39.54,51.77,1164.53,5.18,10.46,West,1721,Kharif,Rice,Sprinkler,136.84,1.76,7.21
90,79,85,7.32,56.99,Clay,0.66,17.48,34.93,2170.63,7.47,16.25,Central,1590,Zaid,Wheat,Rainfed,220.45,12.5,8.8
153,18,33,7.05,17.44,Silt,0.94,24.17,82.78,997.98,10.87,3.81,West,718,Rabi,Maize,Sprinkler,136.74,2.74,8.19
68,82,120,4.85,21.26,Silt,0.76,20.29,75.79,1336.7,6.67,10.71,East,1631,Zaid,Wheat,Canal,150.77,6.37,5.65
92,18,125,5.06,42.82,Silt,0.4,19.24,85.25,2489.94,7.42,15.01,East,798,Rabi,Maize,Drip,276.03,4.45,13.24
75,23,122,6.78,17.14,Sandy,0.76,21.34,40.06,1420.47,8.46,4.66,East,170,Zaid,Rice,Drip,171.64,11.21,8.41
117,44,81,7.9,35.56,Loamy,0.63,10.97,64.35,2512.09,8.85,1.32,North,586,Rabi,Sugarcane,Canal,198.95,10.6,73.9
40,59,94,6.84,63.77,Loamy,1.4,25.96,31.16,1672.54,7.16,1.36,North,593,Rabi,Potato,Rainfed,254.53,10.65,28.16
91,18,98,5.6,23.64,Silt,1.39,32.24,40.66,960.25,4.56,5.16,North,280,Kharif,Maize,Sprinkler,179.93,5.51,9.35
106,83,126,5.89,25.3,Loamy,0.48,35.91,77.34,1515.83,9.87,13.17,West,366,Zaid,Wheat,Canal,186.09,20.61,7.62
81,37,115,6.92,48.82,Sandy,1.25,19.73,47.22,521.86,7.87,6.77,East,2142,Kharif,Rice,Rainfed,160.54,4.03,7.0
33,30,59,6.83,17.2,Clay,0.89,26.51,41.83,1495.35,7.28,9.15,South,1201,Rabi,Sugarcane,Drip,191.62,19.13,75.2
88,36,126,8.05,56.03,Sandy,1.43,36.78,62.53,2269.17,9.89,1.98,Central,1080,Kharif,Rice,Rainfed,288.72,22.56,11.95
101,86,36,6.6,24.95,Loamy,0.66,34.0,69.33,472.13,8.19,15.99,South,1426,Zaid,Rice,Sprinkler,232.44,8.68,7.26
177,62,34,6.01,41.58,Sandy,0.41,23.92,66.62,883.57,5.49,7.97,West,815,Rabi,Sugarcane,Drip,79.39,17.1,72.88
122,76,35,6.58,27.44,Clay,1.34,14.95,35.95,1356.11,6.96,14.4,Central,1954,Kharif,Cotton,Drip,89.25,19.12,7.85
92,74,32,7.47,47.94,Sandy,1.43,26.75,85.82,2194.58,8.82,1.28,West,1850,Zaid,Maize,Rainfed,63.8,9.0,10.16
83,94,55,6.64,44.36,Loamy,1.39,39.69,40.63,2177.73,10.9,12.9,East,647,Rabi,Maize,Sprinkler,118.87,11.57,10.08
146,19,62,5.91,62.32,Clay,0.73,32.73,85.52,2518.23,8.29,9.52,Central,1954,Rabi,Potato,Rainfed,124.79,0.43,24.96
139,94,133,5.95,37.28,Loamy,0.34,35.44,59.02,663.73,5.36,5.42,East,1739,Rabi,Potato,Drip,80.87,5.29,24.29
103,21,93,7.37,58.74,Clay,0.48,15.66,36.18,689.32,4.12,13.17,West,1032,Zaid,Rice,Sprinkler,260.02,13.14,9.88
136,65,100,5.03,43.79,Silt,1.5,37.12,38.92,1972.43,6.13,9.34,East,466,Rabi,Sugarcane,Sprinkler,262.85,5.92,75.46
86,79,113,5.73,60.72,Clay,0.77,10.42,55.85,750.23,6.99,11.22,South,2140,Zaid,Potato,Sprinkler,213.39,6.45,24.13
32,23,49,5.32,29.59,Loamy,1.44,35.87,89.88,1334.59,8.36,13.49,East,133,Zaid,Rice,Sprinkler,247.21,8.97,7.33
149,96,49,8.01,42.49,Silt,1.58,17.17,83.15,1648.51,5.36,2.52,South,1559,Zaid,Wheat,Rainfed,318.49,16.18,9.93
35,59,29,5.11,34.5,Silt,0.81,28.68,88.81,942.27,4.59,12.72,South,1663,Zaid,Cotton,Sprinkler,127.58,13.32,4.0
34,61,118,7.38,18.29,Loamy,1.31,18.79,57.29,2028.89,5.57,8.27,East,1134,Kharif,Cotton,Drip,191.44,3.12,8.57
34,81,113,6.94,43.71,Loamy,0.52,14.06,70.79,2444.93,7.74,16.82,West,1479,Kharif,Sugarcane,Sprinkler,178.9,11.81,74.78
83,38,58,6.95,54.71,Sandy,0.8,17.41,61.15,330.45,4.91,15.94,East,1612,Zaid,Cotton,Canal,298.47,3.68,6.04
76,24,56,7.4,42.81,Loamy,1.22,24.19,31.77,1023.16,5.07,13.79,West,1182,Rabi,Sugarcane,Canal,149.12,10.77,71.8
38,87,108,6.16,28.97,Clay,0.57,37.59,38.51,2080.48,10.27,13.46,South,155,Kharif,Maize,Canal,168.48,22.42,11.52
128,91,33,6.16,28.19,Silt,0.72,21.67,47.12,988.99,4.63,16.04,Central,535,Kharif,Wheat,Drip,115.62,12.71,5.65
